FILENAME COMPRESSED_SIZE NUMBER_OF_OBJECTS UNCOMPRESSED_SIZE SHA1_HASH
RS_2016-10.zst 2279544349 8286759 14346991792 64976ff1e5f7422803e1bdc2a63097b3cc956fdd59b421bf01e9280d9d4e8498
RS_2016-11.zst 2445866736 8660144 15991341374 125d3bb8c43e69d23000f012d72ea45bfeefa0cc35f471b1aadbbbfc480e181a
RS_2016-12.zst 2530910733 8921474 16469657901 6cdf1b29bc87fb406b06d7c9ae4f49472041841dc8daa90204baa1831411cd6f
RS_2017-01.zst 2306318142 9218513 17291472797 a31e1aafac421245211e86b23e9aab37bad2de38bdbd4016e8a320ac0426ce08
RS_2017-02.zst 2168489971 8588120 16268960910 cefc7b6b877f246462198cf606a26b75fc4d15f2983f0750c0f3d06bc1852ffd
RS_2017-03.zst 2409042860 9616340 18242600309 4eb30d9c8a41dbc1f755f9a9042b25ae0df8b6fa5cc4f6bf215aaa120baa0892
RS_2017-04.zst 2335118029 9211051 18100195306 e29e679e683e06ae33fb33fb7ffb5aaf1ea1029b299a5a5da106aa9d31c4fbae
RS_2017-05.zst 2069370628 9498553 18729504393 0b3a5b3c9da35b00cda078d25af64dffc2459ad987a9f065eb62376eb13e3429
RS_2017-06.zst 2100828194 9597725 19712021902 a7baf4a138be608fbfbd17e2c71c96b1509f826da6d4f155578a85f2d7d83db6
RS_2017-07.zst 2216735601 9989122 20743888884 4476031d4cb3a4b19b744676e7a5ec81a818199dc225487b83cf18939c12a6e1
RS_2017-08.zst 2316925909 10424133 21613316555 33b69036919109e64c2863320548d38f209b818730287c25eab58719e9269b7e
RS_2017-09.zst 2188444871 9787604 20860616221 4ec6be6d6351ba7e489a08531833bc8e93b0ad29e89aca972c8f24af655a332a
RS_2017-10.zst 2297583082 10281718 21972040773 97b6d3a26608845abe6b67563203c9d37af3676935f228367517a7fae43249f9
RS_2017-11.zst 2313597673 10377379 22475953759 33e38a5dc06102cfa787b8f557dafa041829833f944efc371b81b3bbdec3f3c5
RS_2017-12.zst 2441257829 10567492 23827553791 5286cd9a69de9f11ca5d38ea89ced788c6e1f3d244ce7d9b0392bd2fc80f7d6d
RS_2018-01.zst 2605287865 11306843 25278067691 641b2d9695aeb3b42dc00b5f31aceb2284e82a0ade105b4e754f636754c2fe44
RS_2018-02.zst 2452577588 10567231 24590890657 983bfc6c1e024ee905d23bc1838216ea8427cf18185429b94f8675b993f53b9c
RS_2018-03.zst 2811642898 12022694 28256114160 7ad2e2bdf5ae0e73b33aa3f557776af122a078081ce31ef9c48ee95d34d92b9e
RS_2018-04.zst 2978943770 11997150 38670568961 61740e09559f025d48538689cc9798a6a5dc5b0fb9e16a4365d361b0bc39e2d7
RS_2018-05.zst 3137622254 12079652 39563214202 8b0d141224ff7491be1b6d7e9b2261fb46d6ac5c6e182d1397f561971d3a2b51
RS_2018-06.zst 2893282685 11904498 34069837200 ee34b90043411aa360908a75332384b12040c0fc59a6d533c3a3b08b931896f4
RS_2018-07.zst 3230891353 13305762 38152144404 6cc4f80e482060a0e7430cc36acdfc6c159e64cdbefc0bf22f4b17883f5241c6
RS_2018-08.zst 3308084452 13408255 38843845389 a730115a5439497f9594461cb66d123ec9f32256e811a7fc9fa3dd4dbcfffbbe
RS_2018-09.zst 3289690329 13107215 39102109738 cb05c803246d073495e4e48907d640d126e52be2b67bdfd554c60102e1715af4
RS_2018-10.zst 3562104771 13975028 42267180369 563fb28983e5952d42adc4cb4e307e16557f2e9f1094b33b90b5b8033053b47d
RS_2018-11.zst 3610602522 13862155 41490113653 0aaef5031800d5074840207dca457a63a0d87099ffad9d4cc4c3b38ea468a410
RS_2018-12.zst 3935789251 14894452 45513443166 700a494ef826c1c63e50eaf1d9b0deab3e8f0eade9fffe0036f0239ed53af11d
RS_2019-01.zst 4686812440 16445391 50643213381 c4f66d94076c9215fe4e215b8e29cec81690b23824926a8b653026e676ca1c6f
RS_2019-02.zst 4540715396 15743620 48528469831 ad99e2b52cb6f88ac0e7e24c22dcddeec48df1daae73a35adeb3e45c7b88bad5
RS_2019-03.zst 5615097892 18412519 58429744473 49ce772c623416b7f9017c6b37043f0d3a203a614d14a9bf65e2be7f3be0af46
RS_2019-04.zst 5587265157 18310157 58476465824 3ea6bd4586f323566902b5435d71f872f619dab59768fe91eb88e489e1514a07
RS_2019-05.zst 5774775680 19456493 59495720853 1bfad21582551fd9041cd61caa9aaf2a0007abb94cd4031b01d502984a2bdfea
RS_2019-06.zst 5763713327 19731676 60329646300 b382485f3c964df03a51a800971ad246826c443dfb79c63bfaa1b5722dee76f0
RS_2019-07.zst 6252294060 20768578 64594611830 d0b1725ac2c13ee6c03d0453cb1191776d22f2dc0c00ec0fab0f45d6b0c1525e
